locality,canton
Alchenflüh,Berne
Alchenstorf,Berne
Allmendingen b. Bern,Berne
Altbüron,Berne
Ammerzwil BE,Berne
Amsoldingen,Berne
Arch,Berne
Arni BE,Berne
Attiswil,Berne
Auswil,Berne
Axalp,Berne
Ballmoos,Berne
Bangerten b. Dieterswil,Berne
Bannwil,Berne
Bargen BE,Berne
Beatenberg,Berne
Bellelay,Berne
Bellmund,Berne
Belp,Berne
Belpberg,Berne
Belprahon,Berne
Berken,Berne
Bern,Berne
Bettenhausen,Berne
Biberen,Berne
Biel/Bienne,Berne
Biembach im Emmental,Berne
Bigenthal,Berne
Biglen,Berne
Blankenburg,Berne
Blausee-Mitholz,Berne
Bleienbach,Berne
Bleiken b. Oberdiessbach,Berne
Blumenstein,Berne
Boll,Berne
Bolligen,Berne
Bollodingen,Berne
Boltigen,Berne
Bowil,Berne
Bremgarten b. Bern,Berne
Brenzikofen,Berne
Brienz BE,Berne
Brienzwiler,Berne
Brügg BE,Berne
Brünig,Berne
Brüttelen,Berne
Buchen BE,Berne
Burgdorf,Berne
Burgistein,Berne
Burglauenen,Berne
Burgäschi,Berne
Busswil BE,Berne
Busswil b. Melchnau,Berne
Bärau,Berne
Bäriswil BE,Berne
Bätterkinden,Berne
Bévilard,Berne
Bönigen b. Interlaken,Berne
Büetigen,Berne
Bühl b. Aarberg,Berne
Büren an der Aare,Berne
Büren zum Hof,Berne
Bützberg,Berne
Champoz,Berne
Châtelat,Berne
Corcelles BE,Berne
Corgémont,Berne
Cormoret,Berne
Cortébert,Berne
Court,Berne
Courtelary,Berne
Crémines,Berne
Deisswil b. Münchenbuchsee,Berne
Detligen,Berne
Diemerswil,Berne
Diemtigen,Berne
Diessbach b. Büren,Berne
Diesse,Berne
Dieterswil,Berne
Dotzigen,Berne
Därligen,Berne
Därstetten,Berne
Dürrenroth,Berne
Eggiwil,Berne
Eigergletscher,Berne
Einigen,Berne
Emdthal,Berne
Emmenmatt,Berne
Enggistein,Berne
Englisberg,Berne
Epsach,Berne
Eriswil,Berne
Eriz,Berne
Erlach,Berne
Erlenbach im Simmental,Berne
Ersigen,Berne
Eschert,Berne
Etzelkofen,Berne
Evilard,Berne
Fahrni b. Thun,Berne
Fankhaus (Trub),Berne
Farnern,Berne
Faulensee,Berne
Ferenbalm,Berne
Feutersoey,Berne
Finsterhennen,Berne
Fornet-Dessous,Berne
